Unnamed: 0,title,source,date,emotion,theme,url
0,Article 1 - ICE Operation,Source 256,2019-12-29,fear,Legal Barriers,https://example.com/article_1
1,Article 2 - ICE Operation,Source 186,2023-12-12,anxious,Deportation Defense,https://example.com/article_2
2,Article 3 - ICE Operation,Source 57,2016-08-01,shock,Family Separation,https://example.com/article_3
3,Article 4 - ICE Operation,Source 202,2016-10-08,fear,Community Organizing,https://example.com/article_4
4,Article 5 - ICE Operation,Source 193,2018-01-22,surprise,Family Separation,https://example.com/article_5
5,Article 6 - ICE Operation,Source 193,2019-02-02,fear,Family Separation,https://example.com/article_6
6,Article 7 - ICE Operation,Source 272,2016-02-15,sadness,Family Separation,https://example.com/article_7
7,Article 8 - ICE Operation,Source 248,2020-11-02,surprise,Detention Conditions,https://example.com/article_8
8,Article 9 - ICE Operation,Source 187,2015-08-31,anger,Community Organizing,https://example.com/article_9
9,Article 10 - ICE Operation,Source 257,2025-01-30,anxious,Legal Barriers,https://example.com/article_10
10,Article 11 - ICE Operation,Source 83,2022-10-20,surprise,Community Organizing,https://example.com/article_11
11,Article 12 - ICE Operation,Source 84,2018-06-08,disgust,Legal Barriers,https://example.com/article_12
12,Article 13 - ICE Operation,Source 193,2020-04-23,disgust,Detention Conditions,https://example.com/article_13
13,Article 14 - ICE Operation,Source 285,2022-08-16,surprise,Family Separation,https://example.com/article_14
14,Article 15 - ICE Operation,Source 113,2018-03-15,sadness,Family Separation,https://example.com/article_15
15,Article 16 - ICE Operation,Source 283,2019-12-27,disgust,Deportation Defense,https://example.com/article_16
16,Article 17 - ICE Operation,Source 81,2025-12-05,anxious,Community Organizing,https://example.com/article_17
17,Article 18 - ICE Operation,Source 59,2025-08-20,anger,Community Organizing,https://example.com/article_18
18,Article 19 - ICE Operation,Source 310,2019-12-03,anger,Detention Conditions,https://example.com/article_19
19,Article 20 - ICE Operation,Source 65,2016-02-15,shock,Deportation Defense,https://example.com/article_20
20,Article 21 - ICE Operation,Source 275,2017-08-18,shock,Legal Barriers,https://example.com/article_21
21,Article 22 - ICE Operation,Source 52,2021-10-24,sadness,Deportation Defense,https://example.com/article_22
22,Article 23 - ICE Operation,Source 249,2017-03-18,disgust,Detention Conditions,https://example.com/article_23
23,Article 24 - ICE Operation,Source 177,2021-12-01,anger,Deportation Defense,https://example.com/article_24
24,Article 25 - ICE Operation,Source 258,2015-08-23,shock,Legal Barriers,https://example.com/article_25
25,Article 26 - ICE Operation,Source 79,2024-09-06,anger,Family Separation,https://example.com/article_26
26,Article 27 - ICE Operation,Source 92,2018-03-05,disgust,Family Separation,https://example.com/article_27
27,Article 28 - ICE Operation,Source 157,2019-07-06,disgust,Detention Conditions,https://example.com/article_28
28,Article 29 - ICE Operation,Source 288,2024-11-11,anxious,Detention Conditions,https://example.com/article_29
29,Article 30 - ICE Operation,Source 234,2016-08-19,fear,Detention Conditions,https://example.com/article_30
30,Article 31 - ICE Operation,Source 291,2022-09-17,shock,Community Organizing,https://example.com/article_31
31,Article 32 - ICE Operation,Source 201,2020-10-31,surprise,Detention Conditions,https://example.com/article_32
32,Article 33 - ICE Operation,Source 75,2020-01-05,shock,Legal Barriers,https://example.com/article_33
33,Article 34 - ICE Operation,Source 167,2025-02-23,sadness,Family Separation,https://example.com/article_34
34,Article 35 - ICE Operation,Source 49,2017-06-13,disgust,Deportation Defense,https://example.com/article_35
35,Article 36 - ICE Operation,Source 251,2015-11-01,surprise,Community Organizing,https://example.com/article_36
36,Article 37 - ICE Operation,Source 202,2025-08-25,fear,Deportation Defense,https://example.com/article_37
37,Article 38 - ICE Operation,Source 251,2015-05-10,fear,Deportation Defense,https://example.com/article_38
38,Article 39 - ICE Operation,Source 256,2020-03-16,fear,Community Organizing,https://example.com/article_39
39,Article 40 - ICE Operation,Source 75,2015-06-09,surprise,Detention Conditions,https://example.com/article_40
40,Article 41 - ICE Operation,Source 149,2020-03-17,anxious,Deportation Defense,https://example.com/article_41
41,Article 42 - ICE Operation,Source 63,2016-04-27,sadness,Legal Barriers,https://example.com/article_42
42,Article 43 - ICE Operation,Source 60,2025-05-09,disgust,Family Separation,https://example.com/article_43
43,Article 44 - ICE Operation,Source 86,2018-02-04,fear,Legal Barriers,https://example.com/article_44
44,Article 45 - ICE Operation,Source 318,2025-02-23,shock,Legal Barriers,https://example.com/article_45
45,Article 46 - ICE Operation,Source 307,2022-09-18,sadness,Community Organizing,https://example.com/article_46
46,Article 47 - ICE Operation,Source 146,2015-11-26,surprise,Community Organizing,https://example.com/article_47
47,Article 48 - ICE Operation,Source 116,2023-08-05,fear,Community Organizing,https://example.com/article_48
48,Article 49 - ICE Operation,Source 289,2021-06-23,anxious,Community Organizing,https://example.com/article_49
49,Article 50 - ICE Operation,Source 147,2016-02-25,fear,Legal Barriers,https://example.com/article_50
50,Article 51 - ICE Operation,Source 33,2015-10-25,anger,Legal Barriers,https://example.com/article_51
51,Article 52 - ICE Operation,Source 36,2017-10-02,surprise,Legal Barriers,https://example.com/article_52
52,Article 53 - ICE Operation,Source 55,2019-01-11,disgust,Family Separation,https://example.com/article_53
53,Article 54 - ICE Operation,Source 210,2025-07-30,sadness,Community Organizing,https://example.com/article_54
54,Article 55 - ICE Operation,Source 175,2023-10-05,fear,Family Separation,https://example.com/article_55
55,Article 56 - ICE Operation,Source 105,2020-04-20,fear,Detention Conditions,https://example.com/article_56
56,Article 57 - ICE Operation,Source 84,2021-06-09,anxious,Community Organizing,https://example.com/article_57
57,Article 58 - ICE Operation,Source 316,2017-07-10,shock,Family Separation,https://example.com/article_58
58,Article 59 - ICE Operation,Source 3,2021-05-19,disgust,Community Organizing,https://example.com/article_59
59,Article 60 - ICE Operation,Source 61,2023-08-06,surprise,Family Separation,https://example.com/article_60
60,Article 61 - ICE Operation,Source 48,2020-10-06,sadness,Community Organizing,https://example.com/article_61
61,Article 62 - ICE Operation,Source 210,2024-09-20,sadness,Deportation Defense,https://example.com/article_62
62,Article 63 - ICE Operation,Source 53,2020-01-21,shock,Community Organizing,https://example.com/article_63
63,Article 64 - ICE Operation,Source 193,2023-12-27,anger,Deportation Defense,https://example.com/article_64
64,Article 65 - ICE Operation,Source 173,2020-12-08,fear,Community Organizing,https://example.com/article_65
65,Article 66 - ICE Operation,Source 198,2024-08-14,fear,Deportation Defense,https://example.com/article_66
66,Article 67 - ICE Operation,Source 4,2017-05-14,surprise,Deportation Defense,https://example.com/article_67
67,Article 68 - ICE Operation,Source 159,2021-06-25,surprise,Deportation Defense,https://example.com/article_68
68,Article 69 - ICE Operation,Source 217,2017-12-05,anger,Legal Barriers,https://example.com/article_69
69,Article 70 - ICE Operation,Source 90,2024-10-29,disgust,Family Separation,https://example.com/article_70
70,Article 71 - ICE Operation,Source 20,2020-08-30,surprise,Family Separation,https://example.com/article_71
71,Article 72 - ICE Operation,Source 205,2022-10-22,surprise,Family Separation,https://example.com/article_72
72,Article 73 - ICE Operation,Source 178,2022-02-19,surprise,Legal Barriers,https://example.com/article_73
73,Article 74 - ICE Operation,Source 303,2016-03-26,shock,Community Organizing,https://example.com/article_74
74,Article 75 - ICE Operation,Source 82,2016-06-06,shock,Family Separation,https://example.com/article_75
75,Article 76 - ICE Operation,Source 130,2025-08-29,disgust,Community Organizing,https://example.com/article_76
76,Article 77 - ICE Operation,Source 45,2017-05-18,surprise,Legal Barriers,https://example.com/article_77
77,Article 78 - ICE Operation,Source 268,2016-10-12,fear,Family Separation,https://example.com/article_78
78,Article 79 - ICE Operation,Source 320,2022-12-30,fear,Community Organizing,https://example.com/article_79
79,Article 80 - ICE Operation,Source 283,2015-12-11,shock,Legal Barriers,https://example.com/article_80
80,Article 81 - ICE Operation,Source 221,2015-03-28,disgust,Family Separation,https://example.com/article_81
81,Article 82 - ICE Operation,Source 225,2021-08-06,disgust,Legal Barriers,https://example.com/article_82
82,Article 83 - ICE Operation,Source 82,2015-12-05,sadness,Community Organizing,https://example.com/article_83
83,Article 84 - ICE Operation,Source 152,2022-02-14,shock,Deportation Defense,https://example.com/article_84
84,Article 85 - ICE Operation,Source 294,2022-08-24,anger,Detention Conditions,https://example.com/article_85
85,Article 86 - ICE Operation,Source 154,2025-02-09,disgust,Detention Conditions,https://example.com/article_86
86,Article 87 - ICE Operation,Source 226,2022-05-01,surprise,Family Separation,https://example.com/article_87
87,Article 88 - ICE Operation,Source 176,2018-04-24,disgust,Community Organizing,https://example.com/article_88
88,Article 89 - ICE Operation,Source 230,2024-01-26,disgust,Legal Barriers,https://example.com/article_89
89,Article 90 - ICE Operation,Source 69,2025-10-29,shock,Deportation Defense,https://example.com/article_90
90,Article 91 - ICE Operation,Source 59,2020-04-23,disgust,Deportation Defense,https://example.com/article_91
91,Article 92 - ICE Operation,Source 142,2016-10-25,fear,Family Separation,https://example.com/article_92
92,Article 93 - ICE Operation,Source 116,2018-11-23,anxious,Deportation Defense,https://example.com/article_93
